Year,Refugees under UNHCR's mandate,Asylum-seekers,Returned refugees,IDPs of concern to UNHCR,,,,,
1951,2116011,0,0,0,,,,,
1952,1952928,0,0,0,,,,,
1953,1847304,0,0,0,,,,,
1954,1749628,0,0,0,,,,,
1955,1717966,0,0,0,,,,,
1956,1767975,0,0,0,,,,,
1957,1742514,0,0,0,,,,,
1958,1698310,0,0,0,,,,,
1959,1674185,0,0,0,,,,,
1960,1656664,0,0,0,,,,,
1961,1789067,0,0,0,,,,,
1962,1765622,0,0,0,,,,,
1963,1682403,0,0,0,,,,,
1964,3079949,0,0,0,,,,,
1965,3531615,0,38100,0,,,,,
1966,3501013,0,29090,0,,,,,
1967,2356991,0,7620,0,,,,,
1968,2463736,0,21850,0,,,,,
1969,2531177,0,31700,0,,,,,
1970,2464730,0,13870,0,,,,,
1971,3279710,0,2058300,0,,,,,
1972,3251850,0,9913600,0,,,,,
1973,2901335,0,120900,0,,,,,
1974,2994463,0,127650,0,,,,,
1975,3529434,0,89120,0,,,,,
1976,4270631,0,13260,0,,,,,
1977,4518659,0,1780,0,,,,,
1978,5065844,0,262250,0,,,,,
1979,6279912,0,571240,0,,,,,
1980,8454917,0,774810,0,,,,,
1981,9714297,0,237150,0,,,,,
1982,10319353,0,396170,0,,,,,
1983,10620784,0,103145,0,,,,,
1984,10728307,0,367753,0,,,,,
1985,11864046,0,393645,0,,,,,
1986,12633964,0,327060,0,,,,,
1987,13128334,0,240680,0,,,,,
1988,14347031,0,234640,0,,,,,
1989,14732885,0,207186,0,,,,,
1990,17395914,0,139120,0,,,,,
1991,16854762,0,2184724,0,,,,,
1992,17838020,0,2243039,0,,,,,
1993,16325299,743601,861034,4198400,,,,,
1994,15753494,644640,3036966,5322990,,,,,
1995,14895916,986458,1173670,4286690,,,,,
1996,13356861,977087,2076538,4853712,,,,,
1997,12014967,1028200,926564,4573112,,,,,
1998,11480439,977800,1016319,5063880,,,,,
1999,11686760,1027400,1599105,3968648,,,,,
2000,12129080,947322,767383,5998501,,,,,
2001,12116301,943383,462396,5096502,,,,,
2002,10593526,1093121,2426009,4646641,,,,,
2003,9592279,995567,1094889,4181701,,,,,
2004,9572778,884285,1434190,5426539,,,,,
2005,8661294,801119,1105477,6616791,,,,,
2006,9877009,740253,733557,12794268,,,,,
2007,11390156,739958,730573,13740317,,,,,
2008,10488995,823931,603884,14442227,,,,,
2009,10395780,988030,251413,15628057,,,,,
2010,10548900,835969,197579,14697804,,,,,
2011,10403951,895692,531868,15473378,,,,,
2012,10497028,941497,525902,17670368,,,,,
2013,11698238,1162934,385651,23925555,,,,,
2014,14384302,1794703,126767,32274619,,,,,
2015,16110280,3223460,201387,37494172,,,,,
2016,17184291,2729521,552219,36627127,,,,,
2017,19940568,3089503,384887,39118516,,,,,
2018,20359556,3501627,519321,41425168,,,,,
2019,20414675,4170548,317181,43503362,,,,,
2020,20650304,4138889,250951,48557439,,,,,*Check if Mils is correct
