Camp,Country,Longitude,Latitude,DatePublished,Source,URL,Individuals,Households,Male_0_4,Male_5_11,Male_12_17,Male_60,Female_0_4,Female_5_11,Female_12_17,Female_18_59,Female_60,Eritrean,Ethiopian,Somali,Sudanese,Ugandan,,% Male_0_4,% Male_5_11,% Male_12_17,% Male_60,% Female_0_4,% Female_5_11,% Female_12_17,% Female_18_59,% Female_60
Melkadida,Ethiopia,41.703053,4.523053,7/25/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=86.xls&name=Dollo%20Ado%20Population%20Statistics_25%20July%202011.xls,39266,9716,5351,7658,3361,128,5183,7277,5565,3170,189,,,,,,,13.63,19.5,8.56,0.33,13.2,18.53,14.17,8.07,0.48
Bokolmanyo,Ethiopia,41.53275,4.546786,7/25/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=86.xls&name=Dollo%20Ado%20Population%20Statistics_25%20July%202011.xls,37174,9307,4288,6099,2447,389,4319,5853,2113,7302,375,,,,,,,11.53,16.41,6.58,1.05,11.62,15.74,5.68,19.64,1.01
Kobe,Ethiopia,41.7469,4.481,7/25/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=86.xls&name=Dollo%20Ado%20Population%20Statistics_25%20July%202011.xls,24934,5504,3289,4952,2449,132,3116,4475,3671,1672,102,,,,,,,13.19,19.86,9.82,0.53,12.5,17.95,14.72,6.71,0.41
Bokolmanyo,Ethiopia,41.53275,4.546786,7/26/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=85.xls&name=Dollo%20Ado%20Population%20Statistics_%2026%20Jul%202011.xls,37178,9305,4291,6099,2447,389,4323,5853,2113,7301,375,,,,,,,11.54,16.4,6.58,1.05,11.63,15.74,5.68,19.64,1.01
Melkadida,Ethiopia,41.703053,4.523053,7/26/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=85.xls&name=Dollo%20Ado%20Population%20Statistics_%2026%20Jul%202011.xls,39275,9724,5351,7657,3366,128,5183,7277,5565,3172,189,,,,,,,13.62,19.5,8.57,0.33,13.2,18.53,14.17,8.08,0.48
Kobe,Ethiopia,41.7469,4.481,7/26/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=85.xls&name=Dollo%20Ado%20Population%20Statistics_%2026%20Jul%202011.xls,24934,5504,3289,4952,2449,132,3116,4475,3671,1672,102,,,,,,,13.19,19.86,9.82,0.53,12.5,17.95,14.72,6.71,0.41
Bokolmanyo,Ethiopia,41.53275,4.546786,7/27/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=87.xls&name=Dollo%20Ado%20Population%20Statistics_27%20Jul%202011.xls,37193,9305,4299,6099,2447,389,4330,5853,2112,7302,375,,,,,,,11.56,16.4,6.58,1.05,11.64,15.74,5.68,19.63,1.01
Bokolmanyo,Ethiopia,41.53275,4.546786,8/3/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=93.xls&name=Dollo%20Ado%20Population%20Statistics_03%20Aug%202011.xls,37423,9386,4370,6121,2491,389,4378,5870,2133,7305,374,,,,,,,11.68,16.36,6.66,1.04,11.7,15.69,5.7,19.52,1
Melkadida,Ethiopia,41.703053,4.523053,8/3/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=93.xls&name=Dollo%20Ado%20Population%20Statistics_03%20Aug%202011.xls,39601,9792,5483,7667,3417,128,5283,7292,5578,3174,189,,,,,,,13.85,19.36,8.63,0.32,13.34,18.41,14.09,8.01,0.48
Kobe,Ethiopia,41.7469,4.481,8/3/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=93.xls&name=Dollo%20Ado%20Population%20Statistics_03%20Aug%202011.xls,25268,5649,3301,4998,2473,145,3153,4534,3687,1732,109,,,,,,,13.06,19.78,9.79,0.57,12.48,17.94,14.59,6.85,0.43
