Camp,Country,Longitude,Latitude,DatePublished,Individuals,Households,Male_0_4,Male_5_11,Male_12_17,Male_60,Female_0_4,Female_5_11,Female_12_17,Female_18_59,Female_60,Eritrean,Ethiopian,Somali,Sudanese,Ugandan,,% Male_0_4,% Male_5_11,% Male_12_17,% Male_60,% Female_0_4,% Female_5_11,% Female_12_17,% Female_18_59,% Female_60
Bokolmanyo,Ethiopia,41.53275,4.546786,12/27/2011,38477,9617,4668,6172,2531,412,4695,5914,2158,7383,391,,,,,,,12.13,16.04,6.58,1.07,12.2,15.37,5.61,19.19,1.02
Buramino,Ethiopia,41.937319,4.311683,12/28/2011,3549,795,505,566,164,28,488,519,216,676,44,,,,,,,14.23,15.95,4.62,0.79,13.75,14.62,6.09,19.05,1.24
Dagahaley,Kenya,40.2881,0.191389,12/14/2011,124442,36566,12719,17248,6285,1967,12559,16222,7276,25411,2159,51,5086,119231,71,3,,10.22,13.86,5.05,1.58,10.09,13.04,5.85,20.42,1.73
Hagadera,Kenya,40.35,0.001111,12/14/2011,140681,44446,13234,16764,10132,2351,12551,15779,8290,30625,2496,,3655,137016,2,4,,9.41,11.92,7.2,1.67,8.92,11.22,5.89,21.77,1.77
Helawein,Ethiopia,41.8622,4.369878,12/28/2011,25563,6114,3472,3880,1418,291,3377,3837,1312,4859,282,,,,,,,13.58,15.18,5.55,1.14,13.21,15.01,5.13,19.01,1.1
Ifo,Kenya,40.3131,0.108611,12/14/2011,122607,40653,11282,14640,8442,2211,11046,13922,7120,26453,2323,5,8747,112646,931,62,,9.2,11.94,6.89,1.8,9.01,11.35,5.81,21.58,1.89
Ifo Ref. Camp Ext (A),Kenya,40.318247,0.147133,12/14/2011,28282,6800,3816,4291,1703,426,3674,6877,1280,5121,439,,140,28142,,,,13.49,15.17,6.02,1.51,12.99,24.32,4.53,18.11,1.55
Ifo Ref.Camp Ext (B),Kenya,40.312022,0.132378,12/14/2011,37115,9295,5131,5460,2053,542,4782,4923,1591,6959,625,,446,36668,1,,,13.82,14.71,5.53,1.46,12.88,13.26,4.29,18.75,1.68
Kambioos,Kenya,40.393056,-0.044167,12/14/2011,10384,2213,1386,1710,660,122,1296,1461,488,1822,160,,46,10338,,,,13.35,16.47,6.36,1.17,12.48,14.07,4.7,17.55,1.54
Kobe,Ethiopia,41.7469,4.481,12/28/2011,25982,5938,3461,4061,1423,401,3323,3705,1199,4854,382,,,,,,,13.32,15.63,5.48,1.54,12.79,14.26,4.61,18.68,1.47
Melkadida,Ethiopia,41.703053,4.523053,12/28/2011,40632,10004,5064,6819,2395,438,4871,6536,2343,7769,437,,,,,,,12.46,16.78,5.89,1.08,11.99,16.09,5.77,19.12,1.08
