Camp,Country,Longitude,Latitude,DatePublished,Source,URL,Individuals,Households,Male_0_4,Male_5_11,Male_12_17,Male_60,Female_0_4,Female_5_11,Female_12_17,Female_18_59,Female_60,Eritrean,Ethiopian,Somali,Sudanese,Ugandan
Melkadida,Ethiopia,41.703053,4.523053,7/25/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=86.xls&name=Dollo%20Ado%20Population%20Statistics_25%20July%202011.xls,39266,9716,5351,7658,3361,128,5183,7277,5565,3170,189,,,,,
Bokolmanyo,Ethiopia,41.53275,4.546786,7/25/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=86.xls&name=Dollo%20Ado%20Population%20Statistics_25%20July%202011.xls,37174,9307,4288,6099,2447,389,4319,5853,2113,7302,375,,,,,
Kobe,Ethiopia,41.7469,4.481,7/25/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=86.xls&name=Dollo%20Ado%20Population%20Statistics_25%20July%202011.xls,24934,5504,3289,4952,2449,132,3116,4475,3671,1672,102,,,,,
Bokolmanyo,Ethiopia,41.53275,4.546786,7/26/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=85.xls&name=Dollo%20Ado%20Population%20Statistics_%2026%20Jul%202011.xls,37178,9305,4291,6099,2447,389,4323,5853,2113,7301,375,,,,,
Melkadida,Ethiopia,41.703053,4.523053,7/26/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=85.xls&name=Dollo%20Ado%20Population%20Statistics_%2026%20Jul%202011.xls,39275,9724,5351,7657,3366,128,5183,7277,5565,3172,189,,,,,
Kobe,Ethiopia,41.7469,4.481,7/26/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=85.xls&name=Dollo%20Ado%20Population%20Statistics_%2026%20Jul%202011.xls,24934,5504,3289,4952,2449,132,3116,4475,3671,1672,102,,,,,
Bokolmanyo,Ethiopia,41.53275,4.546786,7/27/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=87.xls&name=Dollo%20Ado%20Population%20Statistics_27%20Jul%202011.xls,37193,9305,4299,6099,2447,389,4330,5853,2112,7302,375,,,,,
Bokolmanyo,Ethiopia,41.53275,4.546786,8/3/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=93.xls&name=Dollo%20Ado%20Population%20Statistics_03%20Aug%202011.xls,37423,9386,4370,6121,2491,389,4378,5870,2133,7305,374,,,,,
Melkadida,Ethiopia,41.703053,4.523053,8/3/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=93.xls&name=Dollo%20Ado%20Population%20Statistics_03%20Aug%202011.xls,39601,9792,5483,7667,3417,128,5283,7292,5578,3174,189,,,,,
Kobe,Ethiopia,41.7469,4.481,8/3/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=93.xls&name=Dollo%20Ado%20Population%20Statistics_03%20Aug%202011.xls,25268,5649,3301,4998,2473,145,3153,4534,3687,1732,109,,,,,
Kambioos,Kenya,40.393056,-0.044167,11/20/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=603.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%2020th%20Nov%202011.pdf",10213,2188,1357,1689,655,122,1273,1434,476,1790,158,,46,10167,,
Dagahaley,Kenya,40.2881,0.191389,12/4/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=641.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%204th%20Dec%202011.pdf",124846,36675,12778,17295,8301,1974,12619,16272,7286,25499,2167,52,5087,119633,71,3
Hagadera,Kenya,40.35,0.001111,12/4/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=641.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%204th%20Dec%202011.pdf",140789,44449,13258,16771,10130,2351,12578,15788,8290,30659,2497,,3652,137127,2,4
Ifo,Kenya,40.3131,0.108611,12/4/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=641.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%204th%20Dec%202011.pdf",122995,40743,11340,14680,8475,2221,11102,13959,7136,26527,2327,5,8758,113023,931,62
Ifo Ref. Camp Ext (A),Kenya,40.318247,0.147133,12/4/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=641.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%204th%20Dec%202011.pdf",27499,6612,3712,4175,1651,408,3570,3780,1247,4974,426,,136,27363,,
Ifo Ref.Camp Ext (B),Kenya,40.312022,0.132378,12/4/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=641.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%204th%20Dec%202011.pdf",37161,9314,5135,5469,2055,542,4786,4927,1597,6970,626,,446,36714,,
Kambioos,Kenya,40.393056,-0.044167,12/4/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=641.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%204th%20Dec%202011.pdf",10222,2182,1362,1687,654,121,1275,1436,478,1792,159,,46,10176,,
Dagahaley,Kenya,40.2881,0.191389,12/14/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=663.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%2014%20Dec%202011.pdf",124442,36566,12719,17248,6285,1967,12559,16222,7276,25411,2159,51,5086,119231,71,3
Hagadera,Kenya,40.35,0.001111,12/14/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=663.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%2014%20Dec%202011.pdf",140681,44446,13234,16764,10132,2351,12551,15779,8290,30625,2496,,3655,137016,2,4
Ifo,Kenya,40.3131,0.108611,12/14/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=663.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%2014%20Dec%202011.pdf",122607,40653,11282,14640,8442,2211,11046,13922,7120,26453,2323,5,8747,112646,931,62
Ifo Ref. Camp Ext (A),Kenya,40.318247,0.147133,12/14/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=663.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%2014%20Dec%202011.pdf",28282,6800,3816,4291,1703,426,3674,6877,1280,5121,439,,140,28142,,
Ifo Ref.Camp Ext (B),Kenya,40.312022,0.132378,12/14/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=663.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%2014%20Dec%202011.pdf",37115,9295,5131,5460,2053,542,4782,4923,1591,6959,625,,446,36668,1,
Kambioos,Kenya,40.393056,-0.044167,12/14/2011,Dadaab Camp Population Statistics,"http://data.unhcr.org/horn-of-africa/download.php?id=663.pdf&name=REG_H%2004%20Camp%20Population%20by%20CoO,%20Sex,%20Age%20Group%20(Final)%20Ext%2014%20Dec%202011.pdf",10384,2213,1386,1710,660,122,1296,1461,488,1822,160,,46,10338,,
Melkadida,Ethiopia,41.703053,4.523053,11/18/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=601.pdf&name=Dollo%20Ado%20Population%20Statistics%2018%20Nov.pdf,40260,9931,4935,6794,2381,434,4756,6528,2333,7746,433,,,,,
Bokolmanyo,Ethiopia,41.53275,4.546786,11/18/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=601.pdf&name=Dollo%20Ado%20Population%20Statistics%2018%20Nov.pdf,37803,9493,4491,6124,2493,405,4492,5870,2136,7328,381,,,,,
Kobe,Ethiopia,41.7469,4.481,11/18/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=601.pdf&name=Dollo%20Ado%20Population%20Statistics%2018%20Nov.pdf,25831,5882,3434,4051,1416,391,3284,3703,1195,4845,380,,,,,
Helawein,Ethiopia,41.8622,4.369878,11/18/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=601.pdf&name=Dollo%20Ado%20Population%20Statistics%2018%20Nov.pdf,25851,5895,3435,4053,1416,395,3285,3705,1196,4847,381,,,,,
Melkadida,Ethiopia,41.703053,4.523053,11/19/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=607.pdf&name=Dollo%20Ado%20Population%20Statistics%2019%20Nov.pdf,40260,9931,4935,6794,2381,434,4756,6528,2333,7746,433,,,,,
Bokolmanyo,Ethiopia,41.53275,4.546786,11/19/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=607.pdf&name=Dollo%20Ado%20Population%20Statistics%2019%20Nov.pdf,37803,9493,4491,6124,2493,405,4492,5870,2136,7328,381,,,,,
Kobe,Ethiopia,41.7469,4.481,11/19/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=607.pdf&name=Dollo%20Ado%20Population%20Statistics%2019%20Nov.pdf,25831,5882,3434,4051,1416,391,3284,3703,1195,4845,380,,,,,
Helawein,Ethiopia,41.8622,4.369878,11/19/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=607.pdf&name=Dollo%20Ado%20Population%20Statistics%2019%20Nov.pdf,25851,5895,3435,4053,1416,395,3285,3705,1196,4847,381,,,,,
Melkadida,Ethiopia,41.703053,4.523053,11/21/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=608.pdf&name=Dollo%20Ado%20Population%20Statistics%2021%20Nov.pdf,40260,9931,4935,6794,2381,434,4756,6528,2333,7746,433,,,,,
Bokolmanyo,Ethiopia,41.53275,4.546786,11/21/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=608.pdf&name=Dollo%20Ado%20Population%20Statistics%2021%20Nov.pdf,37803,9493,4491,6124,2493,405,4492,5870,2136,7328,381,,,,,
Kobe,Ethiopia,41.7469,4.481,11/21/2011,Dollo Ado Populations Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=608.pdf&name=Dollo%20Ado%20Population%20Statistics%2021%20Nov.pdf,25831,5882,3434,4051,1416,391,3284,3703,1195,4845,380,,,,,
Bokolmanyo,Ethiopia,41.53275,4.546786,10/17/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=514.pdf&name=Dollo_Ado_Population_Statistics_17_Oct_2011.pdf,37714,9480,4453,6121,2486,402,4455,5871,2135,7331,381,,,,,
Melkadida,Ethiopia,41.703053,4.523053,10/17/2011,Dollo Ado Population Statistical Report,http://data.unhcr.org/horn-of-africa/download.php?id=514.pdf&name=Dollo_Ado_Population_Statistics_17_Oct_2011.pdf,40065,9905,5651,6275,2155,425,5460,6018,2157,7653,431,,,,,
