Camp,Country,Longitude,Latitude,DatePublished,Individuals,Households,Male_0_4,Male_5_11,Male_12_17,Male_60,Female_0_4,Female_5_11,Female_12_17,Female_18_59,Female_60,Eritrean,Ethiopian,Somali,Sudanese,Ugandan,,% Male_0_4,% Male_5_11,% Male_12_17,% Male_60,% Female_0_4,% Female_5_11,% Female_12_17,% Female_18_59,% Female_60
Bokolmanyo,Ethiopia,41.53275,4.546786,9/30/2011,37667,9453,4452,6114,2476,401,4453,5865,2133,7325,378,,,,,,,11.82,16.23,6.57,1.06,11.82,15.57,5.66,19.45,1
Bokolmanyo,Ethiopia,41.53275,4.546786,8/27/2011,37546,9400,4420,6113,2467,397,4425,5863,2126,7323,378,,,,,,,11.77,16.28,6.57,1.06,11.79,15.62,5.66,19.5,1.01
Bokolmanyo,Ethiopia,41.53275,4.546786,12/27/2011,38477,9617,4668,6172,2531,412,4695,5914,2158,7383,391,,,,,,,12.13,16.04,6.58,1.07,12.2,15.37,5.61,19.19,1.02
Bokolmanyo,Ethiopia,41.53275,4.546786,7/30/2011,37292,9305,4360,6099,2447,389,4368,5853,2112,7302,375,,,,,,,11.69,16.35,6.56,1.04,11.71,15.7,5.66,19.58,1.01
Bokolmanyo,Ethiopia,41.53275,4.546786,10/28/2011,37697,9476,4451,6119,2486,402,4454,5867,2131,7329,381,,,,,,,11.81,16.23,6.59,1.07,11.82,15.56,5.65,19.44,1.01
Bokolmanyo,Ethiopia,41.53275,4.546786,11/29/2011,38140,9540,4555,6169,2510,406,4565,5903,2152,7375,385,,,,,,,11.94,16.17,6.58,1.06,11.97,15.48,5.64,19.34,1.01
Buramino,Ethiopia,41.937319,4.311683,12/28/2011,3549,795,505,566,164,28,488,519,216,676,44,,,,,,,14.23,15.95,4.62,0.79,13.75,14.62,6.09,19.05,1.24
Dagahaley,Kenya,40.2881,0.191389,12/14/2011,124442,36566,12719,17248,6285,1967,12559,16222,7276,25411,2159,51,5086,119231,71,3,,10.22,13.86,5.05,1.58,10.09,13.04,5.85,20.42,1.73
Dagahaley,Kenya,40.2881,0.191389,9/28/2011,127806,37226,13163,17756,8471,2015,12966,16681,7418,26139,2225,53,5066,122613,71,3,,10.3,13.89,6.63,1.58,10.15,13.05,5.8,20.45,1.74
Dagahaley,Kenya,40.2881,0.191389,8/29/2011,139639,39666,14686,19708,9356,2157,14264,18317,8012,28315,2384,56,5150,13469,71,3,,10.52,14.11,6.7,1.54,10.21,13.12,5.74,20.28,1.71
Dagahaley,Kenya,40.2881,0.191389,10/27/2011,124787,36635,12821,17262,8283,1973,12654,16219,7273,25500,2166,52,5062,119599,71,3,,10.27,13.83,6.64,1.58,10.14,13,5.83,20.43,1.74
Dagahaley,Kenya,40.2881,0.191389,11/20/2011,124701,36619,12775,17261,8292,1973,12615,16243,7269,25486,2165,52,5070,119505,71,3,,10.24,13.84,6.65,1.58,10.12,13.03,5.83,20.44,1.74
Hagadera,Kenya,40.35,0.001111,12/14/2011,140681,44446,13234,16764,10132,2351,12551,15779,8290,30625,2496,,3655,137016,2,4,,9.41,11.92,7.2,1.67,8.92,11.22,5.89,21.77,1.77
Hagadera,Kenya,40.35,0.001111,9/28/2011,142536,44378,13560,17143,10202,2369,12892,16010,8318,30976,2506,,3626,138900,2,4,,9.51,12.03,7.16,1.66,9.04,11.23,5.84,21.73,1.76
Hagadera,Kenya,40.35,0.001111,8/29/2011,134463,41708,12346,16118,9868,2234,11781,14969,8080,29490,2337,,3498,130955,2,4,,9.18,11.99,7.34,1.66,8.76,11.13,6.01,21.93,1.74
Hagadera,Kenya,40.35,0.001111,10/27/2011,140802,44474,13314,16713,10106,2352,12660,15735,8268,30658,2495,,3665,137127,2,4,,9.46,11.87,7.18,1.67,8.99,11.18,5.87,21.77,1.77
Hagadera,Kenya,40.35,0.001111,11/20/2011,140767,44437,13278,16745,10116,2352,12606,15765,8284,30655,2496,,3664,137093,2,4,,9.43,11.9,7.19,1.67,8.96,11.2,5.88,21.78,1.77
Helawein,Ethiopia,41.8622,4.369878,9/30/2011,20846,4908,2796,3225,1161,244,2678,3124,1064,3961,226,,,,,,,13.41,15.47,5.57,1.17,12.85,14.99,5.1,19,1.08
Helawein,Ethiopia,41.8622,4.369878,8/27/2011,13677,3125,1756,2463,1071,111,1686,2314,1499,1624,85,,,,,,,12.84,18.01,7.83,0.81,12.33,16.92,10.96,11.87,0.62
Helawein,Ethiopia,41.8622,4.369878,12/28/2011,25563,6114,3472,3880,1418,291,3377,3837,1312,4859,282,,,,,,,13.58,15.18,5.55,1.14,13.21,15.01,5.13,19.01,1.1
Helawein,Ethiopia,41.8622,4.369878,10/28/2011,25092,5940,3420,3830,1386,280,3328,3787,1266,4789,275,,,,,,,13.63,15.26,5.52,1.12,13.26,15.09,5.05,19.09,1.1
Helawein,Ethiopia,41.8622,4.369878,11/29/2011,25512,6078,3472,3879,1416,286,3375,3838,1305,4860,283,,,,,,,13.61,15.2,5.55,1.12,13.23,15.04,5.12,19.05,1.11
Ifo,Kenya,40.3131,0.108611,12/14/2011,122607,40653,11282,14640,8442,2211,11046,13922,7120,26453,2323,5,8747,112646,931,62,,9.2,11.94,6.89,1.8,9.01,11.35,5.81,21.58,1.89
Ifo,Kenya,40.3131,0.108611,9/28/2011,125564,41176,11699,15102,8594,2253,11496,14310,7191,27042,2387,5,8720,115644,922,58,,9.32,12.03,6.84,1.79,9.16,11.4,5.73,21.54,1.9
Ifo,Kenya,40.3131,0.108611,8/29/2011,150452,46717,15157,18993,9951,2552,14609,17735,8329,31836,2739,5,9050,140221,891,58,,10.07,12.62,6.61,1.7,9.71,11.79,5.54,21.16,1.82
